Param;W_WT;Description: ;Wind velocity  for timestep t and scenario h [m/s];;;;;;;;;
t,h;1W;2SPR;3SUM;4FA;1Wlow;2SPRlow;3SUMlow;4FAlow;1Whigh;2SPRhigh;3SUMhigh;4FAhigh
1;11,31;14,01;4,02;9,02;7,35;9,11;2,61;5,87;15,27;18,91;5,43;12,18
2;12,17;11,56;5,07;7,70;7,91;7,52;3,29;5,01;16,43;15,61;6,84;10,40
3;10,47;14,86;5,07;9,71;6,81;9,66;3,29;6,31;14,14;20,06;6,84;13,11
4;11,31;14,01;5,07;11,86;7,35;9,11;3,29;7,71;15,27;18,91;6,84;16,01
5;12,17;10,02;6,19;9,71;7,91;6,52;4,02;6,31;16,43;13,53;8,35;13,11
6;11,31;6,51;5,07;9,02;7,35;4,23;3,29;5,87;15,27;8,79;6,84;12,18
7;10,47;8,56;5,62;11,86;6,81;5,56;3,65;7,71;14,14;11,55;7,58;16,01
8;12,17;7,86;7,38;9,71;7,91;5,11;4,80;6,31;16,43;10,60;9,97;13,11
9;10,47;5,87;8,01;9,02;6,81;3,82;5,21;5,87;14,14;7,93;10,81;12,18
10;11,31;7,17;9,98;9,02;7,35;4,66;6,49;5,87;15,27;9,68;13,47;12,18
11;11,31;5,87;10,67;11,86;7,35;3,82;6,93;7,71;15,27;7,93;14,40;16,01
12;8,09;6,51;12,09;9,02;5,26;4,23;7,86;5,87;10,93;8,79;16,32;12,18
13;8,09;5,25;12,82;9,71;5,26;3,41;8,33;6,31;10,93;7,09;17,31;13,11
14;10,47;3,54;12,82;11,86;6,81;2,30;8,33;7,71;14,14;4,78;17,31;16,01
15;10,47;7,17;10,67;11,13;6,81;4,66;6,93;7,23;14,14;9,68;14,40;15,02
16;8,09;5,87;9,98;9,71;5,26;3,82;6,49;6,31;10,93;7,93;13,47;13,11
17;6,63;7,17;10,67;9,71;4,31;4,66;6,93;6,31;8,94;9,68;14,40;13,11
18;9,66;5,87;10,67;7,70;6,28;3,82;6,93;5,01;13,04;7,93;14,40;10,40
19;11,31;6,51;5,07;6,46;7,35;4,23;3,29;4,20;15,27;8,79;6,84;8,72
20;10,47;10,78;4,02;6,46;6,81;7,01;2,61;4,20;14,14;14,56;5,43;8,72
21;11,31;13,18;4,02;5,28;7,35;8,56;2,61;3,44;15,27;17,79;5,43;7,13
22;11,31;13,18;5,62;5,28;7,35;8,56;3,65;3,44;15,27;17,79;7,58;7,13
23;10,47;14,01;4,53;5,28;6,81;9,11;2,95;3,44;14,14;18,91;6,12;7,13
24;12,17;13,18;4,02;7,70;7,91;8,56;2,61;5,01;16,43;17,79;5,43;10,40
